{'Time': '2023-06-08T18:34:30Z', 'OrderTime': '2023-06-08T18:34:30Z', 'Price': 233.04, 'Balance': -233.04, 'VolumeSum': 365.0}
{'Time': '2023-06-08T18:34:40Z', 'OrderTime': '2023-06-08T18:34:40Z', 'Price': 233.06, 'Balance': 0.020000000000010232, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:38:30Z', 'OrderTime': '2023-06-08T18:38:30Z', 'Price': 232.87, 'Balance': -232.85, 'VolumeSum': 50.0}
{'Time': '2023-06-08T18:38:40Z', 'OrderTime': '2023-06-08T18:38:40Z', 'Price': 232.88, 'Balance': 0.030000000000001137, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:40:30Z', 'OrderTime': '2023-06-08T18:40:30Z', 'Price': 232.74, 'Balance': -232.71, 'VolumeSum': 198.0}
{'Time': '2023-06-08T18:40:40Z', 'OrderTime': '2023-06-08T18:40:40Z', 'Price': 232.73, 'Balance': 0.01999999999998181, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:40:50Z', 'OrderTime': '2023-06-08T18:40:50Z', 'Price': 232.8, 'Balance': -232.78000000000003, 'VolumeSum': 100.0}
{'Time': '2023-06-08T18:41:00Z', 'OrderTime': '2023-06-08T18:41:00Z', 'Price': 232.82, 'Balance': 0.03999999999996362, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:42:30Z', 'OrderTime': '2023-06-08T18:42:30Z', 'Price': 233.47, 'Balance': -233.43000000000004, 'VolumeSum': 100.0}
{'Time': '2023-06-08T18:42:40Z', 'OrderTime': '2023-06-08T18:42:40Z', 'Price': 233.48, 'Balance': 0.049999999999954525, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:42:50Z', 'OrderTime': '2023-06-08T18:42:50Z', 'Price': 233.34, 'Balance': -233.29000000000005, 'VolumeSum': 335.0}
{'Time': '2023-06-08T18:43:00Z', 'OrderTime': '2023-06-08T18:43:00Z', 'Price': 233.37, 'Balance': 0.07999999999995566, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:45:40Z', 'OrderTime': '2023-06-08T18:45:40Z', 'Price': 232.89, 'Balance': -232.81000000000003, 'VolumeSum': 497.0}
{'Time': '2023-06-08T18:45:50Z', 'OrderTime': '2023-06-08T18:45:50Z', 'Price': 232.83, 'Balance': 0.01999999999998181, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:46:00Z', 'OrderTime': '2023-06-08T18:46:00Z', 'Price': 232.82, 'Balance': -232.8, 'VolumeSum': 100.0}
{'Time': '2023-06-08T18:46:10Z', 'OrderTime': '2023-06-08T18:46:10Z', 'Price': 232.69, 'Balance': -0.11000000000001364, 'VolumeSum': -500.0}
{'Time': '2023-06-08T18:47:10Z', 'OrderTime': '2023-06-08T18:47:10Z', 'Price': 232.63, 'Balance': -232.74, 'VolumeSum': 256.0}
{'Time': '2023-06-08T18:47:20Z', 'OrderTime': '2023-06-08T18:47:20Z', 'Price': 232.68, 'Balance': -0.060000000000002274, 'VolumeSum': 0.0}
{'Time': '2023-06-08T18:47:40Z', 'OrderTime': '2023-06-08T18:47:40Z', 'Price': 232.56, 'Balance': -232.62, 'VolumeSum': 24.0}
{'Time': '2023-06-08T18:47:50Z', 'OrderTime': '2023-06-08T18:47:50Z', 'Price': 232.4, 'Balance': -0.21999999999999886, 'VolumeSum': -475.0}

{'Time': '2023-06-08T18:49:50Z', 'OrderTime': '2023-06-08T18:49:50Z', 'Price': 232.55, 'Balance': -232.55, 'VolumeSum': 300.0}
{'Time': '2023-06-08T18:51:30Z', 'OrderTime': '2023-06-08T18:51:30Z', 'Price': 232.64, 'Balance': 0.08999999999997499, 'VolumeSum': -400.0}
{'Time': '2023-06-08T18:53:30Z', 'OrderTime': '2023-06-08T18:53:30Z', 'Price': 232.71, 'Balance': -232.62000000000003, 'VolumeSum': 177.0}
